UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
208390,8098,5539,3808,4290,51,2,35,3,2,1,2,4,3,0,55,13,8098,1757,221,4632,1488,3808,1060,208,1974,566,4290,697,13,2658,922,51,2,35,3,2,1,2,4,3,0,55,0,0,0,,,,,,,,,,,,2606,2606,0,807,807,0,1799,1799,0,7,61,32,0,1722,27,0,8,98,2,0,0,24,30,46,24,30,46,,,
208406,5545,3271,2121,3424,59,3,21,4,4,0,1,6,7,0,52,13,5545,1481,857,2625,582,2121,715,393,925,88,3424,766,464,1700,494,59,3,21,4,4,0,1,6,7,0,52,0,0,0,,,,,,,,,,,,2174,2174,0,546,546,0,1628,1628,0,8,52,39,1,1431,49,0,1,97,3,0,0,26,47,27,26,47,27,,,
208415,754,421,252,502,49,1,19,1,1,1,2,3,26,0,59,10,754,129,61,303,261,252,73,30,128,21,502,56,31,175,240,49,1,19,1,1,1,2,3,26,0,59,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,110,17,0,2,85,13,0,2,10,33,58,10,33,58,,,
208433,58,58,58,0,69,0,24,0,0,0,0,7,0,0,98,33,58,19,0,39,0,58,19,0,39,0,0,0,0,0,0,69,0,24,0,0,0,0,7,0,0,98,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,18,0,0,1,95,0,0,5,0,0,100,0,0,100,,,
208479,172,172,172,0,16,8,36,3,3,1,2,1,34,0,89,62,172,107,0,65,0,172,107,0,65,0,0,0,0,0,0,16,8,36,3,3,1,2,1,34,0,89,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,89,18,0,0,83,17,0,0,0,100,0,0,100,0,,,
208512,532,532,532,0,49,23,13,7,3,5,2,0,5,0,77,3,532,14,64,454,0,532,14,64,454,0,0,0,0,0,0,49,23,13,7,3,5,2,0,5,0,77,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,12,2,0,0,86,14,0,0,5,95,0,5,95,0,,,
208637,236,94,0,236,75,3,10,2,1,1,1,9,0,0,65,0,236,21,0,215,0,0,0,0,0,0,236,21,0,215,0,75,3,10,2,1,1,1,9,0,0,65,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,18,2,0,1,86,10,0,5,0,0,100,0,0,100,,,
208646,2894,2170,1693,1201,68,2,14,3,1,2,2,6,4,1,61,12,2502,316,355,1501,330,1492,300,238,946,8,1010,16,117,555,322,67,2,15,4,1,3,2,6,5,1,59,392,201,191,78,2,9,1,0,1,2,5,2,1,75,1234,920,314,528,378,150,706,542,164,9,54,37,0,186,129,1,0,59,41,0,0,54,16,30,51,18,31,76,1,23
208725,56,52,49,7,43,4,18,9,4,5,4,16,0,7,45,23,56,14,10,32,0,49,13,7,29,0,7,1,3,3,0,43,4,18,9,4,5,4,16,0,7,45,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7,5,2,0,50,36,14,0,0,9,91,0,9,91,,,
208822,4916,3898,3254,1662,68,3,13,6,5,1,1,6,3,1,61,21,3354,711,213,1775,655,2508,709,167,1632,0,846,2,46,143,655,67,2,14,6,5,1,1,7,3,1,58,1562,746,816,70,6,11,5,5,0,1,5,3,1,67,1594,340,1254,711,202,509,883,138,745,19,71,10,0,388,317,5,1,55,45,1,0,18,40,42,11,41,48,34,37,29
